ARTIGO CODIGO,ARTIGO,COR,NCM,BASE,UnP,VENDA,PRODUÇÃO,NOME REDUZIDO,NOME DE MERCADO,LINHA,URDUME,SARJA,COD. RETALHO,SAP,TRAMA REDUZIDO,SGS,SGS UN 1,DESCRIÇÃO,BATIDAS/FIO,NE RESULTANTE,SAP,TRAMA REDUZIDO,SGS,SGS UN 2,DESCRIÇÃO,BATIDAS/FIO,NE RESULTANTE,CONS.TR/m,SGS,QT.FIOS,NE RESULTANTE,SGS,QT.FIOS,NE RESULTANTE,CONS.URD/m,BATIDA,LARG.PENTE,LARG.CRU,PESO/m CRU,Oz/jd2,Peso/m2,LARGURA MIN,LARGURA ,LARGURA MAX,SKEW MIN,SKEW MAX,URD.MIN,URD.MAX,TRAMA MIN,TRAMA MAX,VAR STR.MIN TRAMA,VAR STR.MAX TRAMA,VAR STR.MIN URD,VAR STR.MAX URD,PONTOS,ENC.TEC.URDUME,ENC. TEC.TRAMA,ENC.ACAB URD,ENC.ACAB TRAMA,LAV.AMAC.URD,LAV.AMAC.TRM,LAV STONE ,LAV STONE ,STRET LAV STONE,COMPOSIÇÃO,TRAMA
AF310806Q5920R,AF310806Q5,920R,5209429,S,STC,N,N,,RAUEN,LOCO WINTER 2015,U12/1F4840920,3X1 DIREITA,,0161LO01CT,16/1 OE,1747425,523092,HILO 16/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"19,0","15,0",,,,,,,,"141,84",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","19,0","189,80","170,00","0,395","8,0","271,00","160,00","162,00","165,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,60","10,43","14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,NE 16/1 OE LISO 100% ALG STC
AF310807Q5561,AF310807Q5,561,5209421,,STC,N,N,,DRESDEN,TECIDO SANTANA TEXT.,U12/1F4840561,3X1 DIREITA,,0121LO01CT,12/1 OE,1747431,523098,HILO 12/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"17,0","12,0",,,,,,,,"158,04",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","17,0","189,08",,"0,395","8,0","278,00","-0,42","1,58","4,58","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,61",,"14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1  OE 100% CO STC
AF3109  Q5561,AF3109  Q5,561,5209421,N,STC,N,N,,ORIGINAL 9 OZ,TECIDO SANTANA TEXT.,U12/1F4840561,3X1 DIREITA,,0121FO01CT,12/1FLAME OE,1898229,714212,HILO 12/1 FANTA OE CARDA TECEL 100% CO SANTANA CHACO,"20,0","12,0",,,,,,,,"186,64",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","20,0","189,80",,"0,395","8,0","270,00","172,00","175,00","180,00","5,00","9,00","-3,00","1,00","-12,00","-6,00","14,00","20,00","0,00","0,00","35,00","8,60","3,14","14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1 FLAME OE 100% CO STC
AF310901Q5561,AF310901Q5,561,5209421,,STC,N,N,,HOUSTON,TECIDO SANTANA TEXT.,U12/1F4840561,3X1 DIREITA,,0081LO01CT,8/1 OE,1747430,523097,HILO 8/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"17,0","8,0",,,,,,,,"236,96",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","17,0","189,00",,"0,395","9,5","333,00","164,00","166,00","169,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,58","3,50","14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 8/1 OE  100% CO STC
AF310903Q5511,AF310903Q5,511,,,STC,N,N,,DEVENTER,TECIDO SANTANA TEXT.,U12/1F4840511,3X1 DIREITA,,0081LO01CT,8/1 OE,1747430,523097,HILO 8/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"17,0","8,0",,,,,,,,"236,96",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","17,0","189,00",,"0,395","9,0","320,00",,"1,63",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00",,"8,63","3,41","14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 8/1  OE 100% CO STC
AF3110  E5561F,AF3110  E5,561F,5209421,S,STC,N,N,,BROOK,TECIDO SANTANA TEXT.,10+10F4760561,3X1 DIREITA,RETALG,0081LO01CT,8/1 OE,1747430,523097,HILO 8/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"18,0","8,0",,,,,,,,"246,92",1747429,"2.600,00","10,0",1979837,"2.160,00","10,0","280,84","18,0","186,00","184,00","0,548","10,0","339,00","166,00","168,00","171,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","6,40","2,65","14,00","16,60","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO 8/1 LISO 100% ALGODON
AF3110  K5561,AF3110  K5,561,5209421,,STC,N,N,,ICON II,TECIDO SANTANA TEXT.,10+11F4536561,3X1 DIREITA,RETALG,0081LO01CT,8/1 OE,1747430,523097,HILO 8/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"15,0","8,0",,,,,,,,"209,08",1747429,"2.254,00","10,0",1967658,"28,00","12,7","134,29","15,0","189,00","184,00","0,517","9,9","334,00","166,00","168,00","171,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","6,40","2,65","14,00","16,60","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO 8/1 LISO 100% ALGODON
AF3110  N5498,AF3110  N5,498,5209421,S,STC,S,S,,TYSON,TECIDO SANTANA TEXT.,U10+9F4760498,3X1 DIREITA,RETALG,0091LO01CT,9/1 OE,2070765,919523,HILO 9/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"13,5","9,0",,,,,,,,"164,56",1747429,"2.380,00","10,0",2103536,"2.380,00","9,5","288,23","13,5","185,94","180,00","0,494","10,0","325,00","166,00","168,00","171,00","5,00","9,00","-3,00","1,00","-2,00","2,00","0,00","0,00","0,00","0,00","18,00","8,00","3,19","17,00","6,67","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,9/1 OE
AF3110  Q5561,AF3110  Q5,561,5209421,N,STC,N,N,,ANTIQUE,TECIDO SANTANA TEXT.,U12/1F4840561,3X1 DIREITA,,0081LO01CT,8/1 OE,1747430,523097,HILO 8/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"20,0","8,0",,,,,,,,"279,96",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","20,0","189,80",,,"10,0","339,00","165,00","168,00","173,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,60","3,51","14,00","6,00","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 8/1 LISO STC
AF3110  R5511M,AF3110  R5,511M,5209421,S,STC,N,N,,DEVENTER,TECIDO SANTANA TEXT.,12/1F74840511,3X1 DIREITA,,0081LO01CT,8/1 OE,1747430,523097,HILO 8/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"17,0","8,0",,,,,,,,"237,03",1898229,"4.840,00","12,0",,,,"237,97","17,0","189,06",,,"9,8","325,00","161,00","164,00","169,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,63",,"14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 8/1  OE 100% CO STC
