FILIAL,PROCESSO,PARTIDA,ARTIGO,COR,DESC_NM_MERC,MT_DISPONIV,DT_PROD,NUM_FIOS,FLANGE,LADO,MAQUINA,STATUS,URDUME,MT_PREVISTA,MT_A_BATER,MT_PROX24H,BATIDAS,RPM,EFIC_TA,EFIC_TB,EFIC_TC,EFIC_DIA,ART_PROGR,NM_MERC_PROG,COR_PG,URDUME_PRO,GRUPO_TEAR,REPROCESSO,LARGURA,TRAMA_REDUZIDA_1,TRAMA_REDUZIDA_2,DATA FINAL TECEL,HORA_FINAL_TECEL,TURNO_FINAL_TECE,HORA_FINAL_TECEL_V2,OBS ACABAMENTO,COD MOT REP,MOTIVO REPROCESSO,OBS REPROCESSO
5,TECELAGEM,0544720,AI310906V5560,560,CAPRI,"357,51",,4760,55076, ,35003,N,U12.5-4760560,"2.300,00","1.942,49","510,30",16,750,"2,50","65,48","91,23","53,35",,,,,5, ,165,9/1 OE,,10/02/2026,1044,A,10:44,, , , 
5,TECELAGEM,0544708,AI310906V5560,560,CAPRI,"969,38",,4760,55189, ,35004,N,U12.5-4760560,"2.300,00","1.330,62","510,30",16,750,"65,83","97,22","90,00","84,35",,,,,5, ,165,9/1 OE,,09/02/2026,1034,A,10:34,, , , 
5,TECELAGEM,0544420,YIC20950C5561C,561C,STOMP II,"2.134,90",,5696,55031, ,35005,P,U12.5-5696560,"2.340,00","205,10","409,84",23.5,835,"69,85","33,92","80,65","61,42",YIC20951C5561,INFLUX,561C,U12.5-5696560,6, ,137,167/96F BCO + 40DN E:2.9 (STL),,07/02/2026,1641,B,16:41,, , , 
5,TECELAGEM,0544419,YIC20950C5561C,561C,STOMP II,"2.006,82",,5696,55121, ,35006,P,U12.5-5696560,"2.340,00","333,18","409,84",23.5,835,"61,60","81,55","85,04","76,00",,,,,6, ,137,167/96F BCO + 40DN E:2.9 (STL),,07/02/2026,2321,C,23:21,, , , 
5,TECELAGEM,0544810,YIC20951C5561C,561C,INFLUX,"188,51",,5696,55132, ,35007,N,U12.5-5696560,"2.340,00","2.151,49","409,84",23.5,835,"0,00","18,75","92,00","55,38",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,11/02/2026,2207,C,22:07,, , , 
5,TECELAGEM,0544811,YIC20951C5561C,561C,INFLUX,"147,23",,5696,55033, ,35008,N,U12.5-5696560,"2.340,00","2.192,77","409,84",23.5,835,"69,58","36,41","84,50","63,53",,,,,6, ,139,166/48F NGO + 40D E:2.6 (STL),,12/02/2026,0016,C,00:16,, , , 
5,TECELAGEM,0544719,AI310906V5560,560,CAPRI,"161,88",,4760,55042, ,35009,N,U12.5-4760560,"2.300,00","2.138,12","510,30",16,750,"41,67","55,00","71,94","56,20",,,,,5, ,165,9/1 OE,,10/02/2026,1828,B,18:28,, , , 
5,TECELAGEM,0544706,AI310906V5560,560,CAPRI,"500,00",,4760,55080, ,35010,N,U12.5-4760560,"2.346,00","1.846,00","510,30",16,750,"35,08","91,74","93,66","73,53",AF311006E5561,ICON IV,561,10+10F4760561,5, ,165,9/1 OE,,10/02/2026,0655,A,06:55,, , , 
5,TECELAGEM,0544710,AI310906V5560,560,CAPRI,"970,64",,4760,55193, ,35011,N,U12.5-4760560,"2.300,00","1.329,36","510,30",16,750,"67,39","92,55","98,14","86,11",,,,,5, ,165,9/1 OE,,09/02/2026,1031,A,10:31,, , , 
5,TECELAGEM,0544619,AI311102G5561,561,WARDEN II,"1.469,28",,4760,55176, ,35012,P,U10/1-4760561,"2.300,00","830,72","579,73",14,750,"57,10","79,11","84,12","73,44",AF311006E5561,ICON IV,561,10+10F4760561,5, ,169,7/1 OE,,08/02/2026,1043,A,10:43,, , , 
