FILIAL,LOC. FISICO,MAQUINA,NOME_MAQUINA,DATA_PRODUCAO,TURNO,LADO,ITEM,DESC ITEM,HORA INICIAL,HORA FINAL,RPM,NUM FUSOS,ALFA,LOTE PRODUC,TÍTULO,TEMPO,TORCAO P POLEG,TORCAO P METRO,PROD MT/MIN,PROD KG/HR,PROD CALCULADA,PROD INFORMADA,EFIC CALCULADA,EFIC INFORMADA,OPERADOR,T.BOB.,RPM CARD,N,S,L,T,MO,CP V+ SL+,CM V- SL-,CCp C+,CCm C-,JP (P+),JM (P-),CVP,CVM,CORT NAT,% ROB 01,% ROB 02,% ROB 03
05,003,050403,OPEN END III                  ,16/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","655,90","79,0","79,3",00096,"1,006",9500,0,36,8,23,26,8,12,17,3,39,2,0,0,141,0,0,0
05,003,050403,OPEN END III                  ,17/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","783,80","94,4","94,8",00096,"1,006",9500,0,43,6,44,29,9,21,8,2,0,0,0,0,130,0,0,0
05,003,050403,OPEN END III                  ,17/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","812,60","97,9","97,7",00096,"1,006",9500,0,25,5,25,22,7,16,14,1,0,0,0,0,97,0,0,0
05,003,050403,OPEN END III                  ,17/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","741,50","89,3","89,1",00092,"1,006",9500,1,57,13,29,26,16,13,5,4,24,1,0,0,123,0,0,0
05,003,050403,OPEN END III                  ,17/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","692,10","83,4","83,7",00092,"1,006",9500,2,36,7,22,25,8,10,7,1,33,3,0,0,105,0,0,0
05,003,050403,OPEN END III                  ,19/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","629,10","75,8","83,6",00096,"1,006",9500,0,28,11,31,23,10,19,14,0,18,0,0,0,126,0,0,0
05,003,050403,OPEN END III                  ,19/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","701,70","84,6","92,8",00096,"1,006",9500,2,30,4,23,28,6,11,9,4,17,0,0,0,134,0,0,0
05,003,050403,OPEN END III                  ,19/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","808,90","97,5","97,2",00096,"1,006",9500,1,31,15,41,17,17,16,10,2,7,0,0,0,151,0,0,0
05,003,050403,OPEN END III                  ,19/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","802,90","96,7","96,9",00096,"1,006",9500,2,33,4,42,28,13,12,12,1,26,0,0,0,120,0,0,0
05,003,050403,OPEN END III                  ,19/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","704,00","84,8","84,6",00096,"1,006",9500,2,49,6,34,20,11,15,13,4,54,1,0,0,136,0,0,0
05,003,050403,OPEN END III                  ,19/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","750,60","90,4","90,7",00096,"1,006",9500,0,64,4,49,54,11,21,13,5,40,1,0,0,224,0,0,0
05,003,050403,OPEN END III                  ,20/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","806,20","97,1","96,8",00096,"1,006",9500,0,42,12,34,33,8,12,16,1,18,1,0,0,158,0,0,0
