MAQUINA,ARTIGO,NM_MERC,PARTIDA,METRAGEM,DT_PROD,HORA_PROD,TURNO,LARG_AL,GRAMAT,POTEN,%_ENC_URD,%_ENC_TRAMA,%_SK1,%_SK2,%_SK3,%_SK4,%_SKE,%_STT,%_SKM,APROV,COD_ART,COR_ART,OBS,REPROCESSO,SEQ TESTE
165001,YI310846G5920,HARE,1543922,"1.074,00",02/02/2026,23:05,C,"150,00","290,00","13,50","-0,80","-14,00","5,25","7,25","5,25","3,00","5,33","36,00","21,00",A,YI310846G5,920,, ,01
165001,YI310847G5561,LUCY A,0544218,"653,00",02/02/2026,21:28,B,"148,00","283,00","14,00","-1,20","-11,82","2,50","4,25","3,75","6,43","4,05","36,40","21,20",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544111,"1.964,00",02/02/2026,21:09,B,"147,50","275,00","14,00","-1,20","-12,54","3,75","3,75","5,00","7,27","4,75","36,00","21,20",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544112,"2.060,00",02/02/2026,19:55,B,"149,00","281,00","14,00","-1,00","-12,08","2,50","3,25","7,75","5,52","4,70","35,60","21,20",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544102,"2.042,00",02/02/2026,18:51,B,"148,00","280,00","14,00","-1,20","-12,16","2,50","3,25","4,00","6,79","3,92","36,00","21,20",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544103,"2.030,00",02/02/2026,17:50,B,"148,00","278,00","14,00","-1,40","-11,82","2,50","4,75","3,75","6,43","4,19","36,40","20,80",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,1544213,"130,00",04/02/2026,18:20,B,"148,50","270,00","13,00","-1,60","-13,80","3,00","7,75","5,50","5,26","5,39","36,00","21,00",A,YI310847G5,561,,R,01
MAQUINA,ARTIGO,NM_MERC,PARTIDA,METRAGEM,DT_PROD,HORA_PROD,TURNO,LARG_AL,GRAMAT,POTEN,%_ENC_URD,%_ENC_TRAMA,%_SK1,%_SK2,%_SK3,%_SK4,%_SKE,%_STT,%_SKM,APROV,COD_ART,COR_ART,OBS,REPROCESSO,SEQ TESTE
165001,YI310847G5561,LUCY A,0544213,"1.900,00",04/02/2026,16:50,B,"149,50","272,00","14,00","-2,00","-14,38","4,00","6,00","5,00","4,07","4,82","36,00","21,00",A,YI310847G5,561,, ,01
165001,YI310847G5561,LUCY A,0544216,"2.051,00",04/02/2026,15:03,B,"149,50","270,00","14,00","-1,60","-14,05","3,00","4,50","5,00","3,39","4,01","36,40","21,20",A,YI310847G5,561,, ,01
